name,category,lat,lng,weekly_hours,rating,reviews_count
Awal Newari Khaja Ghar,Restaurant,27.6768192,85.4337163,0.0,5.0,1
The Golden Eyes Restaurant & Cafe,Restaurant,27.6715495,85.429344,86.0,3.5,85
Chiya & Cheers,Bar,27.6703872,85.4281081,0.0,4.9,22
D'Ja Cafe & Sports Bar with Rooftop Restaurant,Sports bar,27.6719349,85.4300687,0.0,3.8,33
Namaste Restaurant,Family restaurant,27.6713046,85.4294878,98.0,3.9,209
J block,Breakfast restaurant,27.6709633,85.4391693,0.0,0.0,0
Dinesh Dai ko Chya Pasal tatha Juju Dhau,Restaurant,27.6736076,85.4353107,0.0,5.0,4
Gopal Dai Ko Chya Pasal,Nepalese restaurant,27.6733399,85.4354511,0.0,5.0,2
Sekuwalaya,Bar,27.6723152,85.4328948,0.0,3.8,11
Hungry Musician Terrace & Bhaktapur Workshop Residency,Musical club,27.6721859,85.43032,0.0,4.8,18
parin Liquor shop,Bar,27.6746724,85.4278343,0.0,5.0,1
Ktm,Bar,27.674766,85.4273979,0.0,0.0,0
Bal Bhai Newari Khaja Ghar,Fast food restaurant,27.6748129,85.4278108,98.0,2.3,3
Hotel Empire & Rooftop Restaurant,Restaurant,27.6716687,85.4293462,0.0,4.1,116
Manju Baha Hotel,Restaurant,27.6747238,85.433787,0.0,4.7,91
Muglan Hotel & Thakali Restaurant,Restaurant,27.6728125,85.4289375,0.0,4.1,205
khwapa chhen Guest House and Restaurant,Restaurant,27.6721267,85.4273216,0.0,3.9,78
bhaktapur juju dhu pasal.,Restaurant,27.6729218,85.4315966,77.0,4.0,1
Ittchhen Tole -2,Restaurant,27.6727421,85.4262308,0.0,4.0,1
The waffle spot,Fast food restaurant,27.6723074,85.426568,0.0,5.0,1
Ravi Dai Newa Chhen (Dattatraya Khaja Ghar / दत्तात्रय खाजा घर),Restaurant,27.6733346,85.4352088,0.0,3.9,80
Narey's Café,Coffee shop,27.6645571,85.4252743,0.0,5.0,5
Coffee land,Coffee shop,27.6655004,85.4251129,101.5,5.0,7
CoffeeStation&Bakery,Coffee shop,27.6654581,85.4243362,0.0,5.0,2
Beans - The Coffee shop,Coffee shop,27.6672465,85.4260279,94.5,4.1,35
Ghising Khaja Ghar,Coffee shop,27.6619692,85.4240448,0.0,5.0,1
Twayana Nasa: Chhe,Coffee shop,27.6620794,85.4220969,0.0,5.0,2
Suraj's home,Coffee shop,27.6634284,85.4303185,0.0,0.0,0
Bastakoti Khaja Ghar,Restaurant,27.677067,85.4370221,84.0,0.0,0
Anil Newari Khajaghar,Restaurant,27.6759361,85.4229454,84.0,3.0,1
Ittachen Bhaktapur,Family restaurant,27.6729221,85.4254375,0.0,0.0,0
Newa Delights,Restaurant,27.6726948,85.4246997,80.0,0.0,0
