name,lat,lng,category
Sileshwor chock madhyapur Thimi,27.687304,85.3803283,Hindu temple
Dhuncho Bagh Dhara Chok,27.6896666,85.3816661,Hindu temple
Doleshwar Mahadev Temple,27.6388668,85.4384091,Hindu temple
Pilot Baba Ashram,27.6401489,85.4226591,Hindu temple
Suryabinayak Ganesh Temple,27.6562438,85.4234219,Hindu temple
Pathivara Temple,27.6443052,85.4165683,Hindu temple
Tarakeshwor Mahadev Temple,27.6396401,85.416252,Hindu temple
Chiranjibi party(Rameshwor and Hanumanteshwore temple),27.6370893,85.417322,Hindu temple
Likha Narayan Temple लिखा नारायण,27.6520954,85.4188462,Hindu temple
Som Nath Temple,27.6403136,85.4223825,Hindu temple
Maheshwor Mahadev Mandir,27.6482216,85.4160328,Hindu temple
Krishna Mandir,27.6421166,85.4147654,Hindu temple
Sangameshwor Mahadev Temple,27.6765069,85.3979516,Hindu temple
Kundol Bhagawati Temple,27.6833594,85.3945749,Hindu temple
Gankhu Aakash Devi Temple गाँखु आकाश देबीमन्दिर,27.6848368,85.3970112,Hindu temple
Gankhu BhuiChampa Devi temple गाँखु भुइचम्पा देबी मन्दिर,27.6844776,85.3982386,Hindu temple
Nasa Dyo,27.6768036,85.3861584,Hindu temple
𑐥𑑀𑐧𑐸 𑐳𑐸𑐬𑑂𑐫𑐰𑐶𑐣𑐵𑐫𑐎 𑐡𑑂𑐫𑑅 Pobu Suryavinayak Dya,27.6799798,85.388238,Hindu temple
Ganesh temple,27.6770188,85.3855641,Hindu temple
Shree Sarbeshwor Mahadev Temple,27.6803322,85.3974061,Hindu temple
Shree Byang Ganesh Temple,27.6826006,85.4011897,Hindu temple
Balkumari Temple,27.6758251,85.3853204,Hindu temple
Mahalaxmi Temple (Chode) 𑐩𑐴𑐵𑐮𑐎𑑂𑐲𑑂𑐩𑐷 𑐡𑐾𑐐𑑅,27.6785036,85.3879009,Hindu temple
Rakta kali mandir,27.6775003,85.3947749,Hindu temple
Radhe Radhe Ashram,27.6751591,85.3993195,Hindu temple
Guru ko puja pasal,27.6784164,85.3984178,Hindu temple
Rupesh house,27.6444183,85.460583,Hindu temple
Bandeswori Devi,27.6439056,85.4627904,Hindu temple
Dhungadol Guru Ganesh Temple,27.6461451,85.4593608,Hindu temple
Panchakanya Devi Temple,27.6403257,85.4647915,Hindu temple
White goddess Temple,27.6501074,85.4621009,Hindu temple
Kapildev Narayan Temple,27.6426854,85.4621449,Hindu temple
Suresh mahat home,27.6435353,85.4607133,Hindu temple
️बागेश्वरी महादेवस्थान,27.6506452,85.4623994,Hindu temple
इथुली फल्चा:,27.6668549,85.4492827,Hindu temple
दक्षिणकाली मन्दिर,27.6686086,85.4713428,Hindu temple
रक्तकाली देवी,27.6574951,85.4718373,Hindu temple
Brahmayani Temple,27.6737714,85.4441349,Hindu temple
shiva temple sudal,27.6863198,85.4754882,Hindu temple
Shanti Bhairab Temple,27.6539191,85.4538857,Hindu temple
Degaina Ganesh Temple,27.6737099,85.441043,Hindu temple
Chundevi pipalbot chagunarayan 9,27.6666051,85.4521962,Hindu temple
Chunadevi chautara panitanki( चुनदेवी चौतारा चागुनारायण ९),27.6660493,85.4514354,Hindu temple
वनदेवी मन्दिर,27.643811,85.43685,Hindu temple
DREAM,27.6554802,85.4303427,Hindu temple
Chandrabinayak Ganesh Mandir,27.6432201,85.4337528,Hindu temple
Suryabinayak Sheshshayi Narayan,27.656685,85.4236193,Hindu temple
Suryabinayak,27.6581959,85.4243502,Hindu temple
नवग्रह,27.638501,85.4383888,Hindu temple
Narayaneshwor Mahadev,27.710032,85.4241647,Hindu temple
Devithaan,27.7137563,85.4162633,Hindu temple
Nepal engineering college Saraswati temple,27.7094422,85.4159856,Hindu temple
Townfullbari Bandevi Temple,27.709824,85.4189563,Hindu temple
Doleshwor Mahadev,27.7156719,85.4172967,Hindu temple
सुन्दरीदेवी कालिकामाता,27.7019211,85.4123512,Hindu temple
Dakshin Barahi Temple,27.6681075,85.3859485,Hindu temple
Saraswati Temple,27.6609343,85.377534,Hindu temple
Khanal Tol,27.6635125,85.3837081,Hindu temple
Radha Krishna Temple,27.6655486,85.3811062,Hindu temple
Temple,27.668404,85.3738766,Hindu temple
रामेश्वर मन्दिर (अग्नि उत्पत्ति भएको ठाँउ),27.6630139,85.3863487,Hindu temple
Hanumanteshwor shiva mandir,27.6692188,85.3804539,Hindu temple
Ganesh Temple,27.6665847,85.3830913,Hindu temple
Nava Durga Temple Gatthaghar,27.6741748,85.373623,Hindu temple
Hanumanteshwor Mahadev Temple,27.6692308,85.3804586,Hindu temple
"Daicha Patti, Santibinayak Ganesh Mandir, Balkot",27.6630826,85.3786108,Hindu temple
Krishna Mandir,27.6682983,85.3760364,Hindu temple
Shiva And Sarswati Mandir,27.662986,85.3847911,Hindu temple
Radha Krishna Temple,27.6626394,85.3739512,Hindu temple
SitaRam mandir,27.6669423,85.3807104,Hindu temple
Chakradevi Temple,27.6671379,85.3702649,Hindu temple
Radhe Radhe Temple,27.6649628,85.3726331,Hindu temple
Swamiji House,27.6634556,85.3782481,Hindu temple
Devisthan Temple,27.6682659,85.3772843,Hindu temple
OM Shanti Centre,27.6684821,85.3735814,Hindu temple
Shree Panchakanya Mandir,27.6644875,85.3770781,Hindu temple
Samaj kalyan yuba samaj,27.6620964,85.3751844,Hindu temple
"mahakaleshor Mandir, Khadkagaon",27.6495389,85.4552855,Hindu temple
"Chumkotki Devi Temple, Suryabinayak-9",27.65088,85.4580199,Hindu temple
Naag thaan,27.6549647,85.4539631,Hindu temple
Ichheshwor Mahadev,27.6563708,85.4616938,Hindu temple
Manakamana Temple,27.6385122,85.4384755,Hindu temple
चतुर्षष्टी शिवलिङ्ग,27.6385018,85.4383888,Hindu temple
Bhairav Mandir,27.6386899,85.4391785,Hindu temple
दक्षिणकाली माताको मन्दिर,27.6372322,85.4365147,Hindu temple
Danteshwor Mahadev,27.6348205,85.4388324,Hindu temple
Jaleshwor Mahadev,27.6705474,85.4209522,Hindu temple
Barahi Ajima Temple,27.6668196,85.4239083,Hindu temple
Tribikram dham,27.7006104,85.3837371,Hindu temple
बिष्ट चोक,27.702377,85.3849268,Hindu temple
Banglamukhi Temple,27.6682443,85.3707788,Hindu temple
Balkumari Mandir,27.6643704,85.3717741,Hindu temple
Uma maheshowr Mandir Balkot,27.6699376,85.3660235,Hindu temple
Ganesh Mandir,27.6629538,85.3681267,Hindu temple
Shakti Binayak Mandir,27.6612129,85.3734805,Hindu temple
धर्मेश्वर महादेव मन्दिर,27.6645907,85.3652889,Hindu temple
"Shiva mandir, Balkot",27.6683078,85.3717141,Hindu temple
Sukunabasti,27.6831549,85.4409729,Hindu temple
Narayan Mandir,27.6765678,85.4312082,Hindu temple
Piya chhen,27.6773216,85.4420797,Hindu temple
Palanchwok Bhagwati,27.6522572,85.4183352,Hindu temple
"Karki Gaon, Bhimsen Temple",27.6500177,85.4164197,Hindu temple
Kaushal Binayak Temple,27.6739567,85.3650451,Hindu temple
yogendra Chowk,27.6757287,85.3673027,Hindu temple
Chandra Binayak Ganesh Mandir,27.6765429,85.3784953,Hindu temple
"Shirdi Sai Baba Temple, Balkot",27.6698303,85.3649016,Hindu temple
Chandreshwor Mahadev Temple,27.6796618,85.3720163,Hindu temple
Dakshinkali Temple,27.6843662,85.46272,Hindu temple
Ratopati ganesh temple रातोपाटि,27.6815605,85.46096,Hindu temple
पंचकन्या मन्दिर,27.689964,85.470551,Hindu temple
Nidareswor Mahadev Temple,27.6971867,85.4661602,Hindu temple
