name,lat,lng,category
Nabin English School,27.7062224,85.418453,High school
North East English Secondary School,27.6988557,85.4177164,High school
Om Secondary School,27.6657876,85.4036484,High school
Gundu,27.6412431,85.414341,High school
St.John's English School,27.6716994,85.4078166,High school
Rajarshi Gurukul,27.6712333,85.4103412,High school
Gehendra house sainik school,27.6738563,85.4161071,High school
Bhaktapur Dance Academy,27.6641126,85.4220125,Dance school
Dynamic Dance Destination,27.6734266,85.4412374,Dance school
manisundara library,27.6710207,85.42326,Library
Central Library-SAMB,27.6710999,85.4172166,Library
unity reading,27.6697823,85.428685,Library
Garden of Books (Reading Room in Bhaktapur),27.6648373,85.4194059,Library
Pragati Pustakalaya,27.6735701,85.4372858,Library
Digital Library SAMB,27.671363,85.417264,Library
bmc library,27.6698132,85.4208663,Library
Kanchan Library (Reading Room),27.6779189,85.3950804,Library
Asmita's Study Room,27.6734504,85.3759689,Library
Be Cool Reading Home,27.6755158,85.3926778,Library
NEC Library,27.7101758,85.4149457,Library
YOUKOSO JAPANESE LANGUAGE CENTRE,27.6716781,85.4348008,Language school
Nyatapola Japanese Institute,27.672412,85.4314699,Language school
Alpha Korean Language School,27.6654709,85.4237743,Language school
Ashai Japanese Language & Culture Center,27.665965,85.424719,Language school
Saino Japanese Language School,27.6659563,85.4246072,Language school
Bhaktapur Japanese Language Institute,27.6650691,85.4254818,Language school
RC Language & Study Abroad Pvt. Ltd.,27.6662511,85.4264714,Language school
Kavi Ram Language Instutute,27.669418,85.4276529,Language school
Awakening Language Instutute,27.666621,85.424781,Language school
"Language Classes (IELTS, PTE, Japanese and Korean)",27.667468,85.4267195,Language school
Bal Mandir School,27.6719265,85.4274701,Primary school
Shree Basic School श्री आधारभूत विद्यालय,27.6734994,85.4324365,Primary school
Shree Hansa Bahini Basic School,27.6755938,85.4331948,Primary school
"Kamalbinayak-10, Bhaktapur",27.6757318,85.4331137,Primary school
Shree Sarda Primary School,27.6684436,85.4249031,Primary school
Shanti Niketan School,27.6683452,85.4276836,Primary school
श्री जनसेवा प्राथमिक विद्यालय,27.6689,85.4263656,Primary school
Dyola Primary School,27.6691694,85.4304783,Primary school
Shree Dandapati Primary School,27.6600561,85.4596201,Primary school
Deuja Gaun Basic School,27.6571887,85.4628552,Primary school
Aradhana Gyankunja,27.693614,85.448899,Primary school
"""Tranquil"" Ratna Shikshya Sadan English School",27.6954508,85.4495013,Primary school
Chandeshworee Basic School,27.6685976,85.4338103,Primary school
KiDSCARE SCHOOL,27.6884826,85.4298079,Primary school
Phaidhoka School फैढोका स्कुल,27.6697111,85.4649894,Primary school
Kids Town Montessori School,27.6970151,85.4204217,Primary school
Setidevi Basic School,27.6628717,85.4175995,Primary school
Shree yapee Bhairab Basic School,27.6986063,85.42053,Primary school
Mamti National Academy,27.6617003,85.4218031,Primary school
"Gurukul Bidyamandir, Changunarayan-1, Duwakot",27.7018429,85.4139654,Primary school
Shree Santati Basic School,27.6738014,85.4042594,Primary school
Trillium Montessori Kinderworld And Training Centre,27.6645277,85.4243392,Montessori preschool
Kid’s garde Montessori school duwakot,27.686418,85.41323,Montessori preschool
Baby bunny montessori,27.6738731,85.4272014,Montessori preschool
Little Treasures Montessori,27.6625333,85.4326271,Montessori preschool
Prahnir Pen to Paper,27.7032735,85.4324091,School supply store
Goden Gate Kids' Villa,27.6777709,85.4307883,Montessori school
Wings Montessori,27.6678143,85.4142732,Montessori school
S.S. Montessori Pre-School,27.6677247,85.410312,Montessori school
Kikampa Montessori International,27.6647404,85.4302258,Montessori school
Dolphin Kids World,27.6677113,85.4103372,Montessori school
Rajaswi Pathshala,27.6814747,85.4028133,Montessori school
