name,main_category,category,address,city,lat,lng,rating,reviews_count,reviewsDistribution_oneStar,reviewsDistribution_twoStar,reviewsDistribution_threeStar,reviewsDistribution_fourStar,reviewsDistribution_fiveStar,weekly_hours,imageUrl,url
Pipalbot,Park,Park,"MCC8+JP7, Nagarkot Road, Bhaktapur 44800, Nepal",Bhaktapur,27.6715355,85.4167828,0.0,0,0,0,0,0,0,0.0,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=xgOeIO8tz5eGy32dDzsN-g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=275.02185&pitch=0&thumbfov=100,https://www.google.com/maps/search/?api=1&query=Pipalbot&query_place_id=ChIJbZQDOgAb6zkRTQqlt9Hi6S0
पधेंरो,Park,Park,"MF33+XH8, Suryabinayak, Nepal",Suryabinayak,27.654282,85.4535002,0.0,0,0,0,0,0,0,0.0,,https://www.google.com/maps/search/?api=1&query=%E0%A4%AA%E0%A4%A7%E0%A5%87%E0%A4%82%E0%A4%B0%E0%A5%8B&query_place_id=ChIJUxjJFQAP6zkRyA5IiZrVuyU
अर्धनारेश्वोर चोक २,Park,Park,"P92P+M63, Kageshwori Manohara 44600, Nepal",Kageshwori Manohara,27.7016375,85.3855469,0.0,0,0,0,0,0,0,0.0,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=B-w_G8BKkCAdyZR7l_G4Tw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=234.6547&pitch=0&thumbfov=100,https://www.google.com/maps/search/?api=1&query=%E0%A4%85%E0%A4%B0%E0%A5%8D%E0%A4%A7%E0%A4%A8%E0%A4%BE%E0%A4%B0%E0%A5%87%E0%A4%B6%E0%A5%8D%E0%A4%B5%E0%A5%8B%E0%A4%B0%20%E0%A4%9A%E0%A5%8B%E0%A4%95%20%E0%A5%A8&query_place_id=ChIJC6bADwAb6zkRUEsHijGVfBs
Pipalboat,Park,Park,"P92M+7G4, Kageshwori Manohara 44600, Nepal",Kageshwori Manohara,27.7006406,85.383814,0.0,0,0,0,0,0,0,0.0,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=eL7Jiz6PBLYuKbarBwp8lA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=300.26883&pitch=0&thumbfov=100,https://www.google.com/maps/search/?api=1&query=Pipalboat&query_place_id=ChIJq6o6ZE4a6zkRoMExCSU1Opk
Rukmani coloni,Park,Park,"M9XP+F9M, Bista gau Road, Kageshwori Manohara 44600, Nepal",Kageshwori Manohara,27.6996751,85.386,0.0,0,0,0,0,0,0,0.0,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=LyGWjwUNP6GlGPdkipXXBw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=202.08151&pitch=0&thumbfov=100,https://www.google.com/maps/search/?api=1&query=Rukmani%20coloni&query_place_id=ChIJ14T7YwAb6zkR0-ol4tBzh6E
Fikal marga,Park,Park,"P93P+246, Kageshwori Manohara 44600, Nepal",Kageshwori Manohara,27.7025379,85.3852678,0.0,0,0,0,0,0,0,0.0,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=cWWDBGa7GIN9F0znkm03qw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=58.582943&pitch=0&thumbfov=100,https://www.google.com/maps/search/?api=1&query=Fikal%20marga&query_place_id=ChIJ1yaqagAb6zkRI7L3OnNU6ko
सरकारी जग्गामा बनाएको टहरा,Park,Park,"P92P+R64, Mulpani-Gothatar Border, Kathmandu 44600, Nepal",Kathmandu,27.6999565,85.3818986,0.0,0,0,0,0,0,0,0.0,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=15coNu3-wPppr6ngDaXQnw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=272.65485&pitch=0&thumbfov=100,https://www.google.com/maps/search/?api=1&query=%E0%A4%B8%E0%A4%B0%E0%A4%95%E0%A4%BE%E0%A4%B0%E0%A5%80%20%E0%A4%9C%E0%A4%97%E0%A5%8D%E0%A4%97%E0%A4%BE%E0%A4%AE%E0%A4%BE%20%E0%A4%AC%E0%A4%A8%E0%A4%BE%E0%A4%8F%E0%A4%95%E0%A5%8B%20%E0%A4%9F%E0%A4%B9%E0%A4%B0%E0%A4%BE&query_place_id=ChIJxfw4cAAb6zkR_vLFNaonht4
PRATIVA TOLE,Park,Park,"M98C+JFF, Anantalingeshwar 44600, Nepal",Anantalingeshwar,27.6665529,85.3711802,4.1,8,0,0,0,0,0,0.0,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=wqY6eBFpG86aolz3XVJObw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=198.85907&pitch=0&thumbfov=100,https://www.google.com/maps/search/?api=1&query=PRATIVA%20TOLE&query_place_id=ChIJ1a3motUb6zkRw0uYqM6SPG4
Chautara,Park,Park,"M977+VXH, Anantalingeshwar 44600, Nepal",Anantalingeshwar,27.6646997,85.364993,0.0,0,0,0,0,0,0,168.0,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=WKc6L1NteUiB3Y7TLGADTQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=278.25027&pitch=0&thumbfov=100,https://www.google.com/maps/search/?api=1&query=Chautara&query_place_id=ChIJ9enTRgAb6zkRUYw1XO6HcgI
Bal Udhyan,Park,Park,"MCHR+375, Bhaktapur 44800, Nepal",Bhaktapur,27.6776262,85.440731,0.0,0,0,0,0,0,0,0.0,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=y2-Cv0w1kAzB6jioxxjOtQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=228.29234&pitch=0&thumbfov=100,https://www.google.com/maps/search/?api=1&query=Bal%20Udhyan&query_place_id=ChIJpy3eUQAF6zkRPK-jjB5-cVk
