name,category,lat,lng,place_id
Sapana Pharma,Pharmacy,27.6655006,85.424803,ChIJtavlVqYa6zkR09CVzNw4O7I
Sanskrita Pharmacy,Pharmacy,27.6715784,85.4223191,ChIJEQeeewAb6zkRoSuIroZJQI4
Saswatam Pharmacy,Pharmacy,27.6716604,85.4219091,ChIJo3-gSQAb6zkRWtayP7AGC0U
Indra kamal pharmacy,Pharmacy,27.6644461,85.4223688,ChIJs_kJdAAb6zkR_pZq5d_zSXo
Sammriddhi Pharmacy,Pharmacy,27.6716727,85.4220177,ChIJ7W5hBQAb6zkRYP-Q9qkTQOg
Tanuja Pharmacy,Pharmacy,27.6694339,85.4113251,ChIJX0JzBvob6zkRhn_ARMRWAEU
Suryabinayak,Pharmacy,27.6654061,85.427481,ChIJMzYBPwAb6zkROeDMyFg2xLY
Malla Medical,Pharmacy,27.666033,85.4234852,ChIJ7a996aYa6zkRedicDkt0vaI
Riddi Siddi Pharma,Pharmacy,27.6653331,85.4254426,ChIJpcRCTqYa6zkRLkclfMk1Yjw
Community Library Banasthali,Public library,27.7258274,85.2967021,ChIJj5WofYYZ6zkRrR6074GA_mw
Hitech Solutions & Services Pvt. Ltd.,Software company,27.6982336,85.3006635,ChIJLUQL0lsY6zkR_vH-hpTZ2VU
Nepal Data Systems Pvt. Ltd.,Software company,27.698642,85.284928,ChIJRyBXfmMY6zkRuK-9-EzKY_4
Nepal Academy of Tourism and Hotel Management,Hospitality and tourism school,27.694361,85.2948743,ChIJGe81O10Y6zkRitildbHCSlA
Nawa Chatrodaya Library,Public library,27.683151,85.3871977,ChIJT1yl7Gca6zkR0B9a3rylty8
Saubhagya Pustakalaya (𑐳𑑁𑐨𑐵𑐐𑑂𑐫 𑐳𑐦𑐹𑐎𑐸𑐠𑐶),Public library,27.67743,85.3857699,ChIJHVMHWW8a6zkRoa1PxDPtzoQ
nagar swasthya kendra balkot,Government hospital,27.6725093,85.3858673,ChIJZ2MPYuYb6zkRdcLDVYBCSQ0
National Tuberculosis Control Center,Government hospital,27.6738782,85.381163,ChIJ7U56a24a6zkR9zZo_vHgl4I
श्री जन जागृति बाचनालय,Public library,27.675592,85.386033,ChIJOx1egGUa6zkRcJBBDEf8oe8
Shahid Dharmabhakta National Transplant Center (शहिद धर्मभक्त राष्ट्रिय प्रत्यारोपण केन्द्र),Government hospital,27.6725668,85.4221436,ChIJEcoScwAb6zkRQCQcPQ7Dnxw
Devitar Library,Public library,27.6572124,85.4627423,ChIJCR_Lw6gP6zkRmS0kfvDhnjo
Garima Library,Public library,27.6886344,85.4540977,ChIJsW-EOz8F6zkRgax6ukLbKi0
Swornabhumi Sahakari,Savings bank,27.667215,85.3761896,ChIJxYkYRXMa6zkRuLLKnkFbHIQ
Nepal Red Cross Society,Blood bank,27.6724408,85.4223017,ChIJ2bCmoaQa6zkRbXMX9WgcDxo
