category,name,lat,lon,haversine_km,road_km,base_weight_haversine,decayed_weight_haversine,base_weight_road,decayed_weight_road
health_final,Bhaktapur Hospital भक्तपुर अस्पताल,27.6719188,85.4220317,0.08388330356534802,0.10970800122636551,0.720389,0.662425,0.634307,0.5684
health_final,लक्ष्मी ओप्टिकल,27.6726633,85.4249792,0.24305152414196585,0.3721488272045594,0.189828,0.148869,,
health_final,Human Organ Transplant Centre (Shahid Dharma Bhakta Hospital),27.6727526,85.4219096,0.06413328628076254,0.23833756138578063,0.786222,0.737382,0.205541,0.161954
health_final,Dr.Lalpathlabs CC Bhaktapur,27.6732109,85.4227645,0.07854254194461481,0.1334438058655204,0.738192,0.682431,0.555187,0.485831
health_final,National Center for Rheumatic Diseases,27.6714791,85.4241699,0.2011839168634886,0.3161420138130641,0.329387,0.26936,,
health_final,Koju Ayurveda Pharma PILES PATHARI UPACHAR KENDRA,27.6717015,85.4219782,0.10717991454445873,0.12161887106017288,0.642734,0.577409,0.594604,0.526513
health_final,SEWAA DENTAL HOME,27.6713143,85.422301,0.13791127294492272,0.1537716358651844,0.540296,0.470693,0.487428,0.417954
health_final,Indrayani dental home Pvt. Ltd.,27.6727561,85.4243765,0.18488117204209964,0.32671453059522426,0.383729,0.318957,,
health_final,Prime dental clinic pvt.ltd,27.6716249,85.4218072,0.12333811797098078,0.1466647567117853,0.588873,0.520543,0.511117,0.441393
health_final,Rose Dental Care Private Limited,27.6717214,85.4221394,0.09825218485781315,0.12162313816805495,0.672493,0.609561,0.59459,0.526498
health_final,Janajyoti Library जनज्योति पुस्तकालय,27.6736267,85.4239798,0.1881712455970352,0.32767525624502186,0.372763,0.308824,,
health_final,एक्युपर्‍ेसर अकुपंचर तथा फिजियोथेरापी क्लिनिक,27.6712283,85.4205901,0.2391769453314659,0.3507762323823452,0.202744,0.159615,,
health_final,Siddha pokhari clinic,27.671608,85.4218439,0.12291258071914393,0.14984832689728458,0.590291,0.522019,0.500506,0.430854
health_final,Bhaktapur polyclinic,27.6719342,85.422781,0.07227576381835239,0.12450039441080857,0.759081,0.706153,0.584999,0.516518
health_final,Unipath Bhaktapur,27.672291,85.4241316,0.16158632574923212,0.247355157206841,0.461379,0.392538,0.175483,0.137028
health_final,ॐ P.M. Hall,27.6713119,85.4225951,0.13678611472945362,0.21667270529907798,0.544046,0.474494,0.277758,0.223649
