name,lat,lng,category,final_weight,rank,filled_rank
Chiranjibi party(Rameshwor and Hanumanteshwore temple),27.6370893,85.417322,Hindu temple,0.4268820131544652,7,7.0
Likha Narayan Temple लिखा नारायण,27.6520954,85.4188462,Hindu temple,0.5044555631804702,10,10.0
Som Nath Temple,27.6403136,85.4223825,Hindu temple,0.48207238059249446,13,13.0
Maheshwor Mahadev Mandir,27.6482216,85.4160328,Hindu temple,0.41089791949131554,17,17.0
Krishna Mandir,27.6421166,85.4147654,Hindu temple,0.46506717896318134,18,18.0
Sangameshwor Mahadev Temple,27.6765069,85.3979516,Hindu temple,0.7738993835365197,1,1.0
Kundol Bhagawati Temple,27.6833594,85.3945749,Hindu temple,0.6542208095193145,2,2.0
Gankhu Aakash Devi Temple गाँखु आकाश देबीमन्दिर,27.6848368,85.3970112,Hindu temple,0.4734228160196549,3,3.0
Gankhu BhuiChampa Devi temple गाँखु भुइचम्पा देबी मन्दिर,27.6844776,85.3982386,Hindu temple,0.4579567430556062,5,5.0
Nasa Dyo,27.6768036,85.3861584,Hindu temple,0.4348185210964531,6,6.0
𑐥𑑀𑐧𑐸 𑐳𑐸𑐬𑑂𑐫𑐰𑐶𑐣𑐵𑐫𑐎 𑐡𑑂𑐫𑑅 Pobu Suryavinayak Dya,27.6799798,85.388238,Hindu temple,0.4339523616292386,10,10.0
Ganesh temple,27.6770188,85.3855641,Hindu temple,0.47396730903197737,11,11.0
Shree Sarbeshwor Mahadev Temple,27.6803322,85.3974061,Hindu temple,0.4360191147989783,12,12.0
Shree Byang Ganesh Temple,27.6826006,85.4011897,Hindu temple,0.48625656502622455,13,13.0
Balkumari Temple,27.6758251,85.3853204,Hindu temple,0.6061448183987395,15,15.0
Mahalaxmi Temple (Chode) 𑐩𑐴𑐵𑐮𑐎𑑂𑐲𑑂𑐩𑐷 𑐡𑐾𑐐𑑅,27.6785036,85.3879009,Hindu temple,0.4460259310087336,16,16.0
Rakta kali mandir,27.6775003,85.3947749,Hindu temple,0.44920524292275105,17,17.0
Radhe Radhe Ashram,27.6751591,85.3993195,Hindu temple,0.5376562091207063,20,20.0
Guru ko puja pasal,27.6784164,85.3984178,Hindu temple,0.37513221766731,26,26.0
Rupesh house,27.6444183,85.460583,Hindu temple,0.5459296322446012,2,2.0
Bandeswori Devi,27.6439056,85.4627904,Hindu temple,0.4289783715544697,5,5.0
Dhungadol Guru Ganesh Temple,27.6461451,85.4593608,Hindu temple,0.4389091239954701,7,7.0
Panchakanya Devi Temple,27.6403257,85.4647915,Hindu temple,0.4376560653358641,9,9.0
White goddess Temple,27.6501074,85.4621009,Hindu temple,0.3666666666966667,10,10.0
Kapildev Narayan Temple,27.6426854,85.4621449,Hindu temple,0.4505714781673211,11,11.0
Suresh mahat home,27.6435353,85.4607133,Hindu temple,0.3589743589980276,13,13.0
️बागेश्वरी महादेवस्थान,27.6506452,85.4623994,Hindu temple,0.39887080865031055,17,17.0
इथुली फल्चा:,27.6668549,85.4492827,Hindu temple,0.4734228160196549,3,3.0
दक्षिणकाली मन्दिर,27.6686086,85.4713428,Hindu temple,0.4289783715544697,5,5.0
रक्तकाली देवी,27.6574951,85.4718373,Hindu temple,0.43295674303873116,8,8.0
Brahmayani Temple,27.6737714,85.4441349,Hindu temple,0.5319240520342503,11,11.0
shiva temple sudal,27.6863198,85.4754882,Hindu temple,0.42839680606914593,12,12.0
Shanti Bhairab Temple,27.6539191,85.4538857,Hindu temple,0.4244285520975379,14,14.0
Degaina Ganesh Temple,27.6737099,85.441043,Hindu temple,0.4558042502039456,15,15.0
Chundevi pipalbot chagunarayan 9,27.6666051,85.4521962,Hindu temple,0.35294117648904266,17,17.0
Chunadevi chautara panitanki( चुनदेवी चौतारा चागुनारायण ९),27.6660493,85.4514354,Hindu temple,0.3492063492214664,21,21.0
वनदेवी मन्दिर,27.643811,85.43685,Hindu temple,0.38095238099319734,7,7.0
DREAM,27.6554802,85.4303427,Hindu temple,0.37500000003645834,8,8.0
Chandrabinayak Ganesh Mandir,27.6432201,85.4337528,Hindu temple,0.47086908053376497,11,11.0
Suryabinayak Sheshshayi Narayan,27.656685,85.4236193,Hindu temple,0.4342937503559718,17,17.0
Suryabinayak,27.6581959,85.4243502,Hindu temple,0.3977814840306095,18,18.0
नवग्रह,27.638501,85.4383888,Hindu temple,0.40795674301810614,20,20.0
Narayaneshwor Mahadev,27.710032,85.4241647,Hindu temple,0.6956450381678031,1,1.0
Devithaan,27.7137563,85.4162633,Hindu temple,0.5289783715844697,2,2.0
Nepal engineering college Saraswati temple,27.7094422,85.4159856,Hindu temple,0.4459296322146012,5,5.0
Townfullbari Bandevi Temple,27.709824,85.4189563,Hindu temple,0.3636363636639119,11,11.0
Doleshwor Mahadev,27.7156719,85.4172967,Hindu temple,0.4014851877375642,15,15.0
सुन्दरीदेवी कालिकामाता,27.7019211,85.4123512,Hindu temple,0.3977814840306095,18,18.0
Dakshin Barahi Temple,27.6681075,85.3859485,Hindu temple,0.5482983304138552,21,21.0
Saraswati Temple,27.6609343,85.377534,Hindu temple,0.8044555631504702,1,1.0
Khanal Tol,27.6635125,85.3837081,Hindu temple,0.5749080037457376,2,2.0
Radha Krishna Temple,27.6655486,85.3811062,Hindu temple,0.5298819938230065,4,4.0
Temple,27.668404,85.3738766,Hindu temple,0.4579567430556062,5,5.0
रामेश्वर मन्दिर (अग्नि उत्पत्ति भएको ठाँउ),27.6630139,85.3863487,Hindu temple,0.4637968925975895,6,6.0
Hanumanteshwor shiva mandir,27.6692188,85.3804539,Hindu temple,0.4099307524943337,7,7.0
Ganesh Temple,27.6665847,85.3830913,Hindu temple,0.4980980216309252,8,8.0
Nava Durga Temple Gatthaghar,27.6741748,85.373623,Hindu temple,0.5276146863285724,9,9.0
Hanumanteshwor Mahadev Temple,27.6692308,85.3804586,Hindu temple,0.39261473516504825,11,11.0
"Daicha Patti, Santibinayak Ganesh Mandir, Balkot",27.6630826,85.3786108,Hindu temple,0.41906785413884684,12,12.0
Krishna Mandir,27.6682983,85.3760364,Hindu temple,0.45083362332056326,13,13.0
Shiva And Sarswati Mandir,27.662986,85.3847911,Hindu temple,0.4627882724461494,15,15.0
Radha Krishna Temple,27.6626394,85.3739512,Hindu temple,0.435519240553127,16,16.0
SitaRam mandir,27.6669423,85.3807104,Hindu temple,0.39887080865031055,17,17.0
Chakradevi Temple,27.6671379,85.3702649,Hindu temple,0.38083022337047795,18,18.0
Radhe Radhe Temple,27.6649628,85.3726331,Hindu temple,0.49823023926177684,26,26.0
Swamiji House,27.6634556,85.3782481,Hindu temple,0.34313725491147634,34,34.0
Devisthan Temple,27.6682659,85.3772843,Hindu temple,0.3882719745123757,37,37.0
OM Shanti Centre,27.6684821,85.3735814,Hindu temple,0.40006200616870863,38,38.0
Shree Panchakanya Mandir,27.6644875,85.3770781,Hindu temple,0.3418803418886697,39,39.0
Samaj kalyan yuba samaj,27.6620964,85.3751844,Hindu temple,0.3416666666747917,40,40.0
"mahakaleshor Mandir, Khadkagaon",27.6495389,85.4552855,Hindu temple,0.4738993835665198,10,10.0
"Chumkotki Devi Temple, Suryabinayak-9",27.65088,85.4580199,Hindu temple,0.35714285716496597,14,14.0
Naag thaan,27.6549647,85.4539631,Hindu temple,0.3555555555762963,15,15.0
Ichheshwor Mahadev,27.6563708,85.4616938,Hindu temple,0.35087719299907666,19,19.0
Manakamana Temple,27.6385122,85.4384755,Hindu temple,0.3888888889351852,6,6.0
चतुर्षष्टी शिवलिङ्ग,27.6385018,85.4383888,Hindu temple,0.38095238099319734,7,7.0
Bhairav Mandir,27.6386899,85.4391785,Hindu temple,0.41630000256456007,9,9.0
दक्षिणकाली माताको मन्दिर,27.6372322,85.4365147,Hindu temple,0.466915361324316,10,10.0
Danteshwor Mahadev,27.6348205,85.4388324,Hindu temple,0.42284125050886817,15,15.0
Jaleshwor Mahadev,27.6705474,85.4209522,Hindu temple,0.4995974365320779,9,9.0
Barahi Ajima Temple,27.6668196,85.4239083,Hindu temple,0.5446410893183365,19,19.0
Tribikram dham,27.7006104,85.3837371,Hindu temple,0.35294117648904266,17,17.0
बिष्ट चोक,27.702377,85.3849268,Hindu temple,0.3518518518693416,18,18.0
Banglamukhi Temple,27.6682443,85.3707788,Hindu temple,0.5393093169225353,5,5.0
Balkumari Mandir,27.6643704,85.3717741,Hindu temple,0.4468456319374581,6,6.0
Uma maheshowr Mandir Balkot,27.6699376,85.3660235,Hindu temple,0.41630000256456007,9,9.0
Ganesh Mandir,27.6629538,85.3681267,Hindu temple,0.49190910463151144,10,10.0
Shakti Binayak Mandir,27.6612129,85.3734805,Hindu temple,0.3900894826377104,12,12.0
धर्मेश्वर महादेव मन्दिर,27.6645907,85.3652889,Hindu temple,0.39208347832744145,26,26.0
"Shiva mandir, Balkot",27.6683078,85.3717141,Hindu temple,0.34444444445518524,30,30.0
Sukunabasti,27.6831549,85.4409729,Hindu temple,0.4459296322146012,5,5.0
Narayan Mandir,27.6765678,85.4312082,Hindu temple,0.42578519666148096,19,19.0
Piya chhen,27.6773216,85.4420797,Hindu temple,0.37421646675071124,28,28.0
Palanchwok Bhagwati,27.6522572,85.4183352,Hindu temple,0.45083362332056326,13,13.0
"Karki Gaon, Bhimsen Temple",27.6500177,85.4164197,Hindu temple,0.35714285716496597,14,14.0
Kaushal Binayak Temple,27.6739567,85.3650451,Hindu temple,0.5363037088410542,3,3.0
yogendra Chowk,27.6757287,85.3673027,Hindu temple,0.4166666667291667,4,4.0
Chandra Binayak Ganesh Mandir,27.6765429,85.3784953,Hindu temple,0.5115585242023487,10,10.0
"Shirdi Sai Baba Temple, Balkot",27.6698303,85.3649016,Hindu temple,0.4480462256399833,12,12.0
Chandreshwor Mahadev Temple,27.6796618,85.3720163,Hindu temple,0.45573822703288225,18,18.0
Dakshinkali Temple,27.6843662,85.46272,Hindu temple,0.5072327169231864,5,5.0
