name,lat,lng,category,banks_count_1km,banks_weight_1km,education_count_1km,education_weight_1km,health_count_1km,health_weight_1km,temples_count_1km,temples_weight_1km,other_count_1km,other_weight_1km,cafe_weight,poi_composite_score
Our Cafe,27.6736778,85.3868204,Cafe,42,20.455213268065357,6,2.0143237049817846,13,5.300395005520114,153,63.81954096037498,52,22.009180426904834,0.6924208470843213,2.4505951715464294
Real Lhaphing Corner,27.6779378,85.3982604,Restaurant,38,19.312032734199633,40,15.029614778231574,50,21.03819604368424,129,53.09415206250385,49,20.89131223937524,0.7346969904479794,2.4488714604297788
Madhyapur Family Restaurant,27.6829459,85.3866015,Restaurant,39,19.564337993977038,5,1.9897866679222946,10,3.6690546275004188,144,59.49155345538529,47,20.09505888257811,0.9333056644816298,2.4478891557803744
Ilam Organic green tea (IOCP TEA),27.6592943,85.4275082,Tea store,40,19.068688888729177,113,36.52303918209678,99,40.56933174970547,164,68.90055929822964,52,19.820758579330107,0.6748370656573115,2.4454672540351137
Hosanna Tapari Momo,27.6741639,85.3742498,Fast food restaurant,41,20.86627740669779,3,1.1577489452096297,9,3.4221855949294655,141,58.24442926039891,54,22.032272558802358,0.918737981098487,2.442240523797077
KKFC BHAKTAPUR THIMI,27.6751075,85.3971681,Fast food restaurant,38,19.350669087453404,38,14.04593462009378,48,20.24719972072997,133,54.790372139116734,55,23.634188007765708,0.6748370656573115,2.4416360286398207
Purushottam Newa Khaja Ghar Restro,27.6788682,85.4413761,Asian restaurant,33,16.13871468063057,83,27.62765077485477,84,35.79790519777743,171,72.1894848661239,78,31.699640853626228,0.8420589326861545,2.4398635906591917
KALI JIE LIVE NOODLES,27.67581,85.3974108,Chinese noodle restaurant,38,19.350669087453404,39,14.240379064563685,48,20.24719972072997,134,55.18046162175444,55,23.471517299896796,0.6678877412421497,2.4371019956829465
3 R khaja ghar,27.6741774,85.3948623,Fast food restaurant,38,19.127544703129978,33,12.213251143946295,39,16.88754537629312,140,57.71140477434759,59,25.3051182997351,0.660205619507009,2.436261933448119
Mount RED BEANS COFFEE and roastery,27.6759681,85.3981204,Coffee shop,38,19.312032734199633,41,14.886491987156372,50,21.10711484192148,130,53.54203340938325,54,22.766750974709396,0.6678877412421497,2.4357417385917337
Madhyapur dairy and coffee shop,27.6809973,85.3860676,Dairy store,45,22.574923153008946,5,1.9897866679222946,10,3.6690546275004188,153,63.625798102447476,52,22.479038666879923,0.7065772901240378,2.435230035610731
Friendship Bakery Cafe Fast Food,27.67259,85.38543,Bakery,44,21.118961816017297,4,1.623120001225628,12,4.478797178416416,151,62.86666320522816,54,22.612749391468203,0.6811813017898243,2.4331750063512065
Thakali restaurant (थकाली भान्छा घर रेस्टुराँ),27.6767625,85.3986406,Family restaurant,38,19.312032734199633,41,14.886491987156372,50,21.10711484192148,127,52.289568412267364,51,21.72394610228633,0.7146870536692356,2.432360711356526
Thakali Bhansa Ghar,27.6753013,85.3978524,Restaurant,37,18.740549632449202,42,14.786790026653403,50,21.10711484192148,127,52.402953914070466,56,23.841887670300093,0.6811813017898243,2.432172076352484
Siwatol Community Building,27.677408,85.3872402,Cafe,47,23.737100380861015,7,2.3809903716784513,12,4.528115769323183,157,65.37925027934459,54,23.125393039861947,0.5801028097535045,2.4304664795578446
IHOB Cafe and Restaurant,27.677582,85.438631,Fast food restaurant,37,17.26042500090311,110,35.414498094814604,94,40.251403391512994,220,92.22217557222163,96,37.88963033186529,0.5,2.4284133567522623
Lucky Bakery,27.6755289,85.3980283,Bakery,38,19.312032734199633,42,14.786790026653403,50,21.10711484192148,129,53.152017755706204,56,23.841887670300093,0.660205619507009,2.425348548441134
Sabaiko Live Bakery,27.6699192,85.3857994,Bakery,37,17.869671612111485,4,1.4815856097126785,12,5.072342886883613,141,58.7590670806637,50,21.654699729532958,0.8407086585490307,2.424086274360634
Sekuwa park,27.6809911,85.397652,Barbecue restaurant,36,17.954728294852423,32,12.22706134643009,41,17.238259440332616,131,54.050656934421866,41,17.612307194413667,0.8478435903268764,2.4240123677440524
Dhanusha Sweet And Chat House,27.672922,85.38556,Dessert shop,44,21.118961816017297,4,1.623120001225628,12,4.478797178416416,152,63.418340366616526,54,22.612749391468203,0.660205619507009,2.423946758595186
Paradise Foodland,27.6707736,85.4100168,Restaurant,29,15.063234217904583,96,34.06786441364416,97,40.36407935724039,44,18.35537627611746,59,23.95936053642011,0.8597859142631565,2.423414896098053
Lasa Kusa (Newari food) restaurant,27.6768342,85.3985524,Family restaurant,38,19.312032734199633,41,14.886491987156372,49,20.64046971821224,127,52.289568412267364,51,21.72394610228633,0.6974513049774942,2.420696986722894
Manandhar Newari khaja Ghar,27.6772347,85.3886696,Restaurant,40,19.813891500838203,10,3.5412326714583164,14,5.698198444926192,153,63.60246354260505,53,22.193711218751346,0.6811813017898243,2.414762635717457
"Madhyapur Thimi Burger House and Crunchy Fried Chicken,",27.6828082,85.3859495,Restaurant,42,20.938047227962436,4,1.623120001225628,10,3.6690546275004188,144,59.473184385855674,48,20.526955515386568,0.8472230527975119,2.4128622838269496
Hamro cake and bakery,27.6782964,85.4404574,Bakery,35,16.623226234068188,97,32.35881987259807,89,37.83945139595194,196,82.76450812724676,84,33.888537862459856,0.660205619507009,2.412375042805713
Combo kitchen,27.6732686,85.3872661,Restaurant,42,20.455213268065357,8,2.9393808195264755,14,6.082829602896941,152,63.26786379898661,52,22.009180426904834,0.6516177380544796,2.4116269539528687
Unik Fast Food And Cafe,27.6774892,85.3985,Fast food restaurant,38,19.312032734199633,42,15.503630978111751,50,21.03819604368424,128,52.74637057851396,49,20.89131223937524,0.6974513049774942,2.411596997411676
The Burger House and Crunchy Fried Chicken,27.6704472,85.4096093,Restaurant,29,15.063234217904583,92,32.58859904611324,92,38.45315900494724,42,17.64098233668111,56,22.823571329171273,0.9043139681452792,2.409399230598771
Ramailo momo,27.6754151,85.3978829,Fast food restaurant,37,18.740549632449202,42,14.786790026653403,50,21.10711484192148,129,53.152017755706204,56,23.841887670300093,0.6516177380544796,2.4056227028603656
Pranjal Fast Food & Cafe,27.6753726,85.3978882,Fast food restaurant,37,18.740549632449202,42,14.786790026653403,50,21.10711484192148,128,52.76192827306849,56,23.841887670300093,0.6516177380544796,2.404109886345592
Daura Thakali Bhaktapur,27.6748427,85.3907559,Family restaurant,33,16.043056941781487,20,6.929838129339751,22,9.242115670844553,152,63.30723403374901,52,22.217670285254922,0.7894847810256198,2.4017822178710917
Aarogya Bakery,27.6730941,85.3863255,Bakery,42,20.455213268065357,6,2.0143237049817846,12,4.478797178416416,151,62.8722187607888,52,22.009180426904834,0.6516177380544796,2.4013737855169572
The town kitchen,27.6764193,85.3975993,Restaurant,38,19.312032734199633,39,14.240379064563685,48,20.24719972072997,133,54.78605528414296,53,22.396380604306106,0.6306420557716643,2.400158176990226
FIREWOOD SEKUWA PALACE,27.6697901,85.385248,Restaurant,36,17.556655884709777,3,1.2778819059760531,11,4.602170633996034,140,58.068727164076094,48,20.40920131284888,0.8753178214338793,2.398926165656491
Aankhijhyal Restaurant and Lounge,27.6773192,85.3984238,Bar,38,19.312032734199633,42,15.503630978111751,50,21.03819604368424,128,52.74637057851396,50,21.2009137134544,0.6748370656573115,2.3981085657683
Yunisha Bhojanalay and Mo:Mo: Center,27.6730145,85.3859484,Restaurant,42,20.516788891821722,6,2.0143237049817846,12,4.478797178416416,152,63.418340366616526,53,22.37029153804141,0.6418816010661614,2.397451535338698
Global Mo:Mo: and Fastfood Center,27.6730018,85.3856438,Fast food restaurant,44,21.118961816017297,5,1.8268237049622535,12,4.478797178416416,152,63.418340366616526,53,22.37029153804141,0.6306420557716643,2.393662689591397
Chillout Hookah Cafe & Sekuwa Lounge,27.6784898,85.3984238,Restaurant,38,19.312032734199633,39,14.65924440782828,51,21.43218754188867,129,53.09415206250385,48,20.54409001713971,0.6811813017898243,2.3936225433173624
The Natural Kitchen,27.6766409,85.3979901,Restaurant,38,19.312032734199633,41,14.886491987156372,49,20.64046971821224,131,53.83720761812524,53,22.529225832323743,0.6173484952239897,2.3917367876378197
Aveeva Cafe,27.6776861,85.3978895,Restaurant,38,19.312032734199633,40,15.029614778231574,48,20.24719972072997,134,55.26422245467541,50,21.2009137134544,0.6678877412421497,2.3916636269761153
Crossroad khajaghar,27.6778495,85.3834804,Bar,52,25.79133104454871,4,1.623120001225628,11,4.008624925528838,150,62.4293641770807,53,22.28726652266472,0.55053924601816,2.390345406802795
Ghar Tea and Bites Since 2081,27.6729299,85.3863708,Tea house,42,20.455213268065357,6,2.0143237049817846,12,4.478797178416416,150,62.52221876077297,52,22.009180426904834,0.6418816010661614,2.390316275269136
Tamidewa stick food,27.6786489,85.3855453,Restaurant,48,23.976494320260898,4,1.623120001225628,10,3.6690546275004188,157,65.2096071659075,55,23.691985756606346,0.55053924601816,2.3870443211743453
JYUNAAR THAKALI KITCHEN,27.6735505,85.3741698,Family restaurant,41,20.86627740669779,2,0.8125108499600547,9,3.4221855949294655,138,57.266412345004724,54,22.083459565002524,0.8560183674471358,2.3832460900314807
Durbar Cakes,27.6777134,85.399273,Bakery,38,19.312032734199633,43,15.912056576684149,51,21.43218754188867,123,50.44588521442814,46,19.93675180951641,0.7021569840726396,2.3818340743523874
Naan house,27.6755324,85.3977585,Indian restaurant,37,18.740549632449202,40,14.426653574386066,50,21.10711484192148,131,53.95713300955049,56,23.841887670300093,0.6173484952239897,2.381715192895359
Aarati Restaurant,27.6754327,85.3979407,Restaurant,38,19.312032734199633,42,14.786790026653403,50,21.10711484192148,129,53.152017755706204,56,23.841887670300093,0.6173484952239897,2.3805065149949143
The Moon Restaurant,27.6718046,85.3843867,Restaurant,45,21.642240764711197,4,1.623120001225628,11,4.008624925528838,153,63.70795387925071,54,22.81798119639956,0.660205619507009,2.3766423973382844
RAJ GANESH CAFE AND KHAJA GHAR,27.6773662,85.3855139,Restaurant,50,24.806209483865775,4,1.623120001225628,12,4.478797178416416,155,64.6447463057372,56,23.929510898992,0.5,2.3748012568893144
Ranjeet Chatpate Panipuri,27.674505,85.3873503,Fast food restaurant,42,20.455213268065357,8,2.9393808195264755,14,5.6892838944553,150,62.78881631928694,52,22.038692485145738,0.6173484952239897,2.374105520589517
जोशी म:म: सेन्टर,27.6760932,85.3981691,Restaurant,38,19.312032734199633,41,14.886491987156372,50,21.10711484192148,130,53.54203340938325,54,22.766750974709396,0.6010784920363198,2.373899377407373
