name,lat,lng,category,subcategory_weight,final_weight,rank,filled_rank
Saras Pathshala School Bhaktapur,27.6634478,85.4430159,Special education school,0.5,0.18333333334916668,20,20.0
Khwopa College (TU Affiliated),27.678014,85.4324319,College,1.0,1.0,1,1.0
BMC Bsc. Csit Block,27.6688451,85.4213352,College,1.0,0.5684255986492003,2,2.0
ICH COLLEGE [INSTITUTE OF COMMUNITY HEALTH],27.6703725,85.4195802,College,1.0,0.4166666667291667,4,4.0
Khwopa Engineering College(Block A),27.67096,85.4399895,College,1.0,0.5615851821570117,8,8.0
Nicholson College / Secondary School,27.6732361,85.4051609,College,1.0,0.5968043065053638,12,12.0
Madan Ashrit College,27.6700454,85.4129891,College,1.0,0.42739995756389454,13,13.0
Aadarsha Azad College,27.6679931,85.4319817,College,1.0,0.35714285716496597,14,14.0
BMC Computer and Science Office,27.6689445,85.421577,College,1.0,0.3555555555762963,15,15.0
BMC BBA Block,27.6698504,85.4218693,College,1.0,0.3888888889351852,6,6.0
Iwamura College of Health Science,27.6723726,85.4112782,College,1.0,0.5822094050485707,9,9.0
स्व.वि.यु भवन,27.6697991,85.4209875,College,1.0,0.3666666666966667,10,10.0
BMC BBM/BIM/BCA Block,27.6697816,85.4206096,College,1.0,0.40680810970505377,11,11.0
Universal Modern College/ Modern English Secondary School,27.6745078,85.4051265,College,1.0,0.5521075033754905,16,16.0
BMC Basketball Court,27.668975,85.4203313,College,1.0,0.39611292253018454,17,17.0
Iwamura College of Health Science (Nursing Unit),27.6649571,85.4259719,College,1.0,0.35087719299907666,19,19.0
Kathmandu Medical College Basic Science Building,27.6810936,85.4120632,College,1.0,0.45983841277030857,4,4.0
Oxford Practical English School / College,27.6746985,85.4085805,College,1.0,0.35000000001583337,20,20.0
Kirtipur,27.6865852,85.4581859,College,1.0,0.6666666666666666,1,1.0
KHWOPA POLY-TECHNIC INSTITUTE ENGINEERING DEPARTMENT,27.6797432,85.4446131,College,1.0,0.6493497033698392,2,2.0
Rhombus National Collage,27.6781129,85.4447394,College,1.0,0.6119567346974311,4,4.0
Prajwol House,27.683519,85.4520142,College,1.0,0.38095238099319734,7,7.0
Kathmandu Medical College,27.6872117,85.4082908,College,1.0,0.6171389909553775,14,14.0
Sanothimi college hostel,27.6793164,85.4030016,College,1.0,0.3518518518693416,18,18.0
Chakrabarti Habi Education Academy - College of Health Science,27.6738432,85.4020597,College,1.0,0.5583904478480242,8,8.0
Rajdhani national collage,27.6780668,85.4446684,College,1.0,0.37500000003645834,8,8.0
Sainik School for Bachelor Studies,27.6727143,85.414011,College,1.0,0.4813670899927673,18,18.0
Holy Garden English Secondary School,27.675965,85.4294723,General education school,0.5,0.2500000000625,4,4.0
Jaycees English School,27.6736511,85.4269509,General education school,0.5,0.23333333338666665,5,5.0
Khwopa Secondary School,27.6778469,85.4330416,General education school,0.5,0.19696969699724517,11,11.0
MVA - Mahendra Vidya Ashram Bhaktapur Pvt. Ltd.,27.6673333,85.4238851,General education school,0.5,0.1740740740813169,45,45.0
SIpadol School,27.6435494,85.4330036,General education school,0.5,0.1904761904982993,14,14.0
Global Life School,27.6774145,85.4413497,General education school,0.5,0.23333333338666665,5,5.0
Lisha English Secondary School,27.6733164,85.4423558,General education school,0.5,0.18888888890962963,15,15.0
Prasadi Pathshala Montessori School,27.6659218,85.4333593,General education school,0.5,0.17424242424982783,44,44.0
United school,27.6946888,85.4304223,General education school,0.5,0.2777777778518518,3,3.0
Manakamana English Secondary School,27.6783436,85.4381422,General education school,0.5,0.18888888890962963,15,15.0
BAL BHUSAN SCHOOL,27.7032295,85.4284575,General education school,0.5,0.20370370373662552,9,9.0
Kids Town Montessori School,27.6953638,85.4105258,General education school,0.5,0.1825396825547997,21,21.0
Golden Gate English Secondary School,27.67759,85.4310296,High school,1.0,0.3888888889351852,6,6.0
Medha Secondary School,27.6708989,85.4249715,High school,1.0,0.36111111113657407,12,12.0
Sooryodaya Secondary School,27.6704593,85.4339449,High school,1.0,0.3518518518693416,18,18.0
Mount Valley English Secondary School,27.6759807,85.4356293,High school,1.0,0.35000000001583337,20,20.0
भक्तपुर,27.6764293,85.432703,High school,1.0,0.34090909091649446,44,44.0
Hostel Basu,27.6775416,85.4302587,High school,1.0,0.3407407407479835,45,45.0
Dattatraya Lower Secondary School,27.67379,85.4354319,High school,1.0,0.34057971015201643,46,46.0
जाेरपाटी माध्यमिक विद्यालय,27.6723979,85.4228803,High school,1.0,0.3401360544284326,49,49.0
Little World English Secondary School,27.6696545,85.4199713,High school,1.0,0.4444444445185185,3,3.0
Gyan Tara English Secondary School,27.6681374,85.424071,High school,1.0,0.4166666667291667,4,4.0
Sunshine National School,27.6685867,85.4214808,High school,1.0,0.4000000000533333,5,5.0
NR.Secondary School,27.6704694,85.4217939,High school,1.0,0.38095238099319734,7,7.0
Glitter Future (Secondary) School,27.6685794,85.4249608,High school,1.0,0.37500000003645834,8,8.0
AJ School,27.6646266,85.4225146,High school,1.0,0.3636363636639119,11,11.0
Pentagon Open School,27.6705774,85.4218015,High school,1.0,0.35294117648904266,17,17.0
Future Star English School,27.6712289,85.4245736,High school,1.0,0.35087719299907666,19,19.0
Zenith English Sec. School,27.6695516,85.423642,High school,1.0,0.3412698412775888,42,42.0
विद्यालय,27.6664326,85.4216148,High school,1.0,0.3400000000065333,50,50.0
Shree Bhuvaneshwari Secondary School,27.6491017,85.4509896,High school,1.0,0.4444444445185185,3,3.0
NASEMEP,27.6830176,85.4478714,High school,1.0,0.4166666667291667,4,4.0
East point academy ( school ),27.6795914,85.4431793,High school,1.0,0.3888888889351852,6,6.0
Wiseland Sec.School,27.6676649,85.4346173,High school,1.0,0.35000000001583337,20,20.0
Vidhya Arjan English Secondary School,27.6671338,85.4328354,High school,1.0,0.4444444445185185,3,3.0
PROXIMA INTERNATIONAL ACADEMY,27.667432,85.432278,High school,1.0,0.3518518518693416,18,18.0
Vidhya Vikash Sec.Boarding School,27.6676646,85.4353954,High school,1.0,0.3437500000100911,32,32.0
Bal Vikash English Secondary School,27.6706248,85.4424652,High school,1.0,0.3888888889351852,6,6.0
Khwopring English Secondary School,27.6708125,85.4408125,High school,1.0,0.37500000003645834,8,8.0
Nabin English School,27.7062224,85.418453,High school,1.0,0.38095238099319734,7,7.0
North East English Secondary School,27.6988557,85.4177164,High school,1.0,0.37500000003645834,8,8.0
