name,lat,lng,reviews_count,weekly_hours,cafe_individual_score,cafe_weight,banks_count_1km,banks_weight_1km,education_count_1km,education_weight_1km,health_count_1km,health_weight_1km,temples_count_1km,temples_weight_1km,other_count_1km,other_weight_1km,banks_rank,education_rank,health_rank,temples_rank,other_rank
Backers cafe,27.6654851,85.3658945,0,85.0,0.5,0.5,25,12.947439797861305,2,0.8125108499600547,3,1.0444519779701318,38,16.13329474229203,21,8.415370300809125,868.0,996.0,1109.0,926.0,1112.0
Bakery Shop,27.6737961,85.4238925,0,85.0,0.5,0.5,64,31.664589129978538,171,54.86571009465193,165,68.8744739077172,245,101.91493514265542,121,47.046812546062974,2.0,151.0,152.0,163.0,140.0
bakhunchhe house,27.6664503,85.4040677,0,85.0,0.5,0.5,16,8.58617884640806,57,19.982627898553293,45,18.96743486485721,22,9.912606315857872,36,14.923558859925253,1043.0,487.0,580.0,1179.0,890.0
Balkot,27.6634556,85.3782481,0,85.0,0.5,0.5,29,14.409551514046886,2,0.8125108499600547,5,1.8472942488495765,52,22.202871443916848,30,12.911309568933758,824.0,996.0,1026.0,867.0,932.0
Balkot Chulho,27.6618794,85.3813496,1,85.0,0.55053924601816,0.55053924601816,14,7.176456412207473,2,0.8125108499600547,4,1.602978133782509,40,17.22391627775544,25,10.99491314358548,1061.0,996.0,1084.0,901.0,998.0
balkot homestay,27.6692489,85.3709162,0,85.0,0.5,0.5,31,16.21199106204141,2,0.8125108499600547,4,1.6772337972452762,57,24.25114591159703,38,15.697777966087388,732.0,996.0,1041.0,853.0,876.0
Balram khaja ghar,27.6400904,85.4372728,2,85.0,0.5801028097535045,0.5801028097535045,1,0.7220158820719793,3,1.0770685725503801,2,0.7693954801701335,17,8.64739359519939,8,3.606707518734564,1198.0,958.0,1182.0,1219.0,1245.0
Bamboo Cottage Darjeeling Height,27.6590779,85.4283757,1,85.0,0.55053924601816,0.55053924601816,36,17.14630569073694,107,34.25445258397815,82,33.61165508842361,159,66.89697266519181,51,19.580613729780172,709.0,375.0,416.0,370.0,702.0
Bangsagopal,27.6695875,85.4263594,1,85.0,0.55053924601816,0.55053924601816,62,29.960599759771476,176,56.40047849606849,165,69.44475664044859,253,105.14140195757035,124,48.11012537454808,137.0,44.0,150.0,40.0,93.0
Bansbari Kitchen,27.6865656,85.4590553,0,85.0,0.5,0.5,0,0.0,7,2.9215506717403894,1,0.35000000001583337,24,9.871466292494496,23,10.172334120014611,1265.0,707.0,1277.0,1180.0,1016.0
Bar 555777,27.6575716,85.4492298,0,85.0,0.5,0.5,3,1.5192581950785815,10,2.9543926914079632,8,4.0883681992370935,13,5.172819664280622,11,4.928044555307829,1171.0,701.0,760.0,1302.0,1215.0
BARAHI AJIMA NEWARI KHAJA GHAR,27.6697631,85.426554,1,85.0,0.55053924601816,0.55053924601816,62,29.960599759771476,178,56.92746262307805,167,69.84963929455378,255,105.97220620781074,123,47.73975500414479,137.0,28.0,147.0,18.0,106.0
Barahi Liquors,27.671011,85.4257652,1,85.0,0.55053924601816,0.55053924601816,63,30.373091832341753,176,56.68708514973787,167,70.21438058355037,251,104.31424094679868,124,48.128759652492185,134.0,32.0,140.0,53.0,92.0
baristas coffee shop,27.6744056,85.3691595,3,85.0,0.6010784920363198,0.6010784920363198,29,15.197805924839841,2,0.8125108499600547,4,1.6772337972452762,48,20.114731220907217,33,12.853171646637964,767.0,996.0,1041.0,880.0,935.0
Barudan fastfood chagunarayan,27.7132229,85.4127695,0,85.0,0.5,0.5,1,0.7220158820719793,5,1.7412274972393398,3,1.508129956790785,14,6.34697461479001,5,1.9532051708137903,1198.0,806.0,1087.0,1276.0,1307.0
Baskota Khaja Ghar,27.6652518,85.3798063,4,85.0,0.6173484952239897,0.6173484952239897,32,15.803496833249149,2,0.8125108499600547,8,2.961620030054819,81,33.84996552297379,38,16.09736062353901,751.0,996.0,959.0,819.0,861.0
Basu ko pasal,27.6836829,85.4369235,0,85.0,0.5,0.5,25,12.730887781634326,76,25.52354777002463,75,31.771728033685157,113,47.21611525717785,68,26.820566254293897,907.0,434.0,425.0,774.0,378.0
Basuki Newari khaja Ghar,27.682206,85.3824075,1,85.0,0.55053924601816,0.55053924601816,43,20.968451696228254,4,1.623120001225628,9,3.3897385124034267,144,59.253329314813556,45,18.84843978849874,431.0,815.0,939.0,571.0,754.0
Beli's Bread n cake station,27.684394,85.4117026,3,85.0,0.6010784920363198,0.6010784920363198,6,3.7087486409167263,37,13.748186628353892,35,14.911943765293323,27,10.8510471108476,23,9.420523763882253,1106.0,602.0,614.0,1148.0,1064.0
Bhadgaun cake factory,27.6519635,85.4554825,0,85.0,0.5,0.5,3,1.8993809796026047,5,1.519607843280195,7,3.3752455398098578,22,8.796773996603955,11,4.609322490183029,1166.0,884.0,948.0,1214.0,1226.0
Bhakta,27.6747541,85.4460334,0,85.0,0.5,0.5,25,12.499737363878118,67,22.317359743975484,70,30.207262741568297,125,51.73982912260969,56,23.25786755876799,914.0,451.0,430.0,731.0,469.0
Bhaktapur,27.6708782,85.425545,0,85.0,0.5,0.5,63,30.48796485731127,177,56.97019721016251,166,69.86438058353451,251,104.58419656755821,123,47.76209298579552,131.0,26.0,145.0,44.0,103.0
bhaktapur nepal,27.6716863,85.4078543,0,85.0,0.5,0.5,21,11.252636849236868,80,28.832463810520686,75,32.30468965707516,36,15.561904903046143,49,20.424229226647938,947.0,419.0,423.0,988.0,666.0
Bhaktapur newari khaza ghar,27.6847054,85.4110257,0,85.0,0.5,0.5,6,3.7087486409167263,37,13.990071996820909,35,14.911943765293323,29,11.60566650804343,22,9.38496000022225,1106.0,601.0,614.0,1134.0,1072.0
bhaktapur srijanagar,27.6739329,85.4053391,0,85.0,0.5,0.5,18,9.686178846491394,60,21.166409909292337,47,19.990167498122783,31,13.882014459284271,41,17.262969994097777,978.0,468.0,551.0,1040.0,816.0
Bhansa Ghar,27.6730011,85.3856447,0,85.0,0.5,0.5,44,21.118961816017297,5,1.8268237049622535,12,4.478797178416416,152,63.418340366616526,53,22.37029153804141,419.0,793.0,715.0,433.0,531.0
bhanye,27.6748627,85.4459376,1,85.0,0.55053924601816,0.55053924601816,26,12.987463794793213,68,22.70624863291067,70,30.207262741568297,125,51.73982912260969,56,23.25786755876799,866.0,445.0,430.0,731.0,469.0
Bhatapur rada krishana,27.6565342,85.4323974,0,85.0,0.5,0.5,31,15.177298705475112,69,20.728258062852852,59,25.040006743397885,72,29.84218878244222,30,11.45771213276517,776.0,480.0,443.0,835.0,986.0
Bijen Ko Pasal,27.6724194,85.4043218,0,85.0,0.5,0.5,18,9.686178846491394,60,21.024975623555083,47,19.990167498122783,28,12.375392462228332,38,16.009677181363255,978.0,474.0,551.0,1096.0,866.0
Bikerz Point,27.6783543,85.4339395,6,85.0,0.6418816010661614,0.6418816010661614,42,19.89521160952714,129,41.11005602512485,133,57.015616373044644,234,97.3879739296257,108,42.99109179311347,505.0,329.0,251.0,260.0,268.0
Bisauni Restro,27.6767413,85.375151,27,85.0,0.7429600931024811,0.7429600931024811,44,22.09484099630335,2,0.8099228582392453,11,4.189874375306491,153,63.108435229054805,51,20.729939299974223,384.0,1144.0,748.0,448.0,651.0
Bishal bhandari,27.662928,85.3653101,0,85.0,0.5,0.5,21,11.246923673238383,1,0.34782608697038436,2,0.8001358629030645,33,14.052790102937866,20,7.941217479038056,949.0,1223.0,1173.0,1038.0,1158.0
bishnu mo m,27.6693229,85.4281027,0,85.0,0.5,0.5,64,30.82748492990018,179,57.25333755224356,171,71.41646268493588,256,106.35832743647686,125,48.33651633139309,103.0,11.0,110.0,9.0,77.0
black cherry cafe,27.6451028,85.4427153,1,85.0,0.55053924601816,0.55053924601816,1,0.7220158820719793,6,2.074423070026991,2,0.7693954801701335,18,8.628192655758966,8,3.7227243231932103,1198.0,764.0,1182.0,1221.0,1242.0
Blue Sky Cafe,27.6717998,85.3647335,5,85.0,0.6306420557716643,0.6306420557716643,26,13.567202427394614,2,0.8125108499600547,3,1.0444519779701318,33,13.856498671298539,22,8.624809992419577,850.0,996.0,1109.0,1043.0,1110.0
Blunch Resort,27.6609597,85.4481456,45,85.0,0.7791566565937139,0.7791566565937139,9,4.0071071966417176,19,6.057890960183684,13,6.312690752163889,20,7.951852864574974,16,7.090093877619563,1103.0,654.0,653.0,1240.0,1167.0
Bode sentitar,27.6892273,85.3932541,0,85.0,0.5,0.5,19,9.491351083428446,7,2.9035825890513616,3,1.1565776693122112,100,41.48380704911002,25,10.873496423898597,1000.0,711.0,1108.0,796.0,1002.0
Brothers cafe.,27.6667533,85.3726955,1,85.0,0.55053924601816,0.55053924601816,34,17.60560346496475,2,0.8125108499600547,6,2.3078598137242223,59,25.171900853306745,37,15.475145677569671,694.0,996.0,1000.0,850.0,883.0
