lat,lng,cafe_weight,_row_index
27.6826062,85.3909841,3.7104,243
27.6829235,85.3910858,4.5388,244
27.6423538,85.4354595,1.3418,245
27.695556,85.3737381,6.8788,246
27.6865852,85.4581859,0.9967,247
27.6763231,85.4398356,3.6503,248
27.6706505,85.4218284,8.1859,249
27.6694417,85.428121,10.6592,250
27.6826303,85.411082,5.0338,251
27.677634,85.3914002,1.9138,252
27.6718026,85.4305635,15.5411,253
27.6745872,85.3670569,10.72,254
27.6826986,85.3871536,10.1303,255
27.6700445,85.4282604,13.0977,256
27.6729764,85.4263687,11.4324,257
27.672022,85.3878259,6.5101,258
27.6713463,85.4300451,19.7497,259
27.6655004,85.4251129,11.5084,260
27.6801375,85.3982656,4.9894,261
27.6654581,85.4243362,7.426,262
27.6732686,85.3872661,6.7362,263
27.6727094,85.4258379,11.3848,264
27.6679632,85.38619,5.4689,265
27.6745692,85.3735235,20.8884,266
27.6700737,85.4283216,12.6517,267
27.671833,85.3878811,6.4411,268
27.6704538,85.409407,5.8337,269
27.6587274,85.4236834,1.1914,270
27.672397,85.4051819,7.2349,271
27.6778495,85.3834804,3.9766,272
27.7103511,85.4027442,2.564,273
27.6723776,85.4384499,4.3182,274
27.6674076,85.4358847,4.0031,275
27.6967766,85.3796056,3.4284,276
27.6719349,85.4300687,17.7779,277
27.6691297,85.4280708,9.4415,278
27.6715355,85.4167828,1.1874,279
27.6767637,85.3986141,18.0612,280
27.6683972,85.3838129,4.1928,281
27.6803154,85.3840549,2.2284,282
27.6721663,85.429265,17.0657,283
27.6647404,85.3662744,7.9391,284
27.6923888,85.4600068,1.3205,285
27.6775532,85.3974353,12.6689,286
27.6691076,85.3859252,6.5879,287
27.6730017,85.3853751,12.6346,288
27.6863787,85.4790383,2.2583,289
27.6604966,85.4279471,2.1891,290
27.666657,85.425601,12.9251,291
27.6432728,85.4682241,1.7413,292
27.6748427,85.3907559,2.1002,293
27.6818508,85.4446401,1.2242,294
27.6735504,85.4346362,7.5817,295
27.6658536,85.438753,3.0802,296
27.6735231,85.4349476,7.4902,297
27.6708993,85.4389241,4.709,298
27.6672809,85.4234083,5.5215,299
27.6601844,85.3746558,0.8947,300
27.6988248,85.3859903,1.0025,301
27.6687485,85.4279453,7.3484,302
27.6795735,85.3997894,5.3431,303
27.6676408,85.4359415,3.77,304
27.6563856,85.4299725,1.3794,305
27.6898073,85.4126105,1.1562,306
27.6678072,85.3760296,1.3192,307
27.6584933,85.4526872,1.1217,308
27.672922,85.38556,12.9407,309
27.6659785,85.3811407,1.3526,310
27.6890136,85.3801206,2.4148,311
27.6831616,85.394468,1.5672,312
27.6735106,85.3854431,10.6426,313
27.6769718,85.3827368,2.5085,314
27.6736076,85.4353107,7.3142,315
27.6824253,85.3891807,7.8574,316
27.6711905,85.3880247,4.8797,317
27.6664314,85.420063,2.6419,318
27.6659305,85.3677244,5.575,319
27.6721332,85.4238289,8.7389,320
27.6720143,85.4044925,4.3327,321
27.676267,85.3880049,1.4381,322
27.6633774,85.4259391,7.8854,323
27.714817,85.4053523,1.5139,324
27.6628502,85.4259424,7.9193,325
27.6810637,85.4004705,2.0313,326
27.6704508,85.3651226,3.9421,327
27.6550939,85.4398645,0.9642,328
27.6430437,85.4356005,1.2819,329
27.6393565,85.4376453,1.4484,330
27.6774415,85.398256,19.0857,331
